# Languages
System.LanguagesName.EN:				English
CustomNPC.EffectNPC.Option.Dye.Gray2: Gray 2
CustomNPC.EffectNPC.Option.Dye.Gray3: Gray 3
CustomNPC.EffectNPC.Option.Dye.Orange1: Orange 1
CustomNPC.EffectNPC.Option.Dye.Orange2: Orange 2
CustomNPC.EffectNPC.Option.Dye.Orange3: Orange 3
CustomNPC.EffectNPC.Option.Dye.Purple1: Purple 1
CustomNPC.EffectNPC.Option.Dye.Purple2: Purple 2
CustomNPC.EffectNPC.Option.Dye.Purple3: Purple 3
CustomNPC.EffectNPC.Option.Dye.Yellow1: Yellow 1
CustomNPC.EffectNPC.Option.Dye.Yellow2: Yellow 2
CustomNPC.EffectNPC.Option.Dye.Yellow3: Yellow 3
CustomNPC.EffectNPC.Option.Dye.Violet: Violet
CustomNPC.EffectNPC.Option.Dye.Mauve: Mauve
CustomNPC.EffectNPC.Option.Dye.Blue5: Blue 5
CustomNPC.EffectNPC.Option.Dye.Purple4: Purple 4
CustomNPC.EffectNPC.Option.Dye.ShipRed: Ship Red
CustomNPC.EffectNPC.Option.Dye.ShipRed2: Ship Red 2
CustomNPC.EffectNPC.Option.Dye.ShipOrange: Ship Orange
CustomNPC.EffectNPC.Option.Dye.ShipOrange2: Ship Orange 2
CustomNPC.EffectNPC.Option.Dye.Orange4: Orange 4
CustomNPC.EffectNPC.Option.Dye.ShipYellow: Ship Yellow
CustomNPC.EffectNPC.Option.Dye.ShipLimeGreen: Ship Lime Green
CustomNPC.EffectNPC.Option.Dye.ShipGreen: Ship Green
CustomNPC.EffectNPC.Option.Dye.ShipGreen2: Ship Green 2
CustomNPC.EffectNPC.Option.Dye.ShipTurquoise: Ship Turquoise
CustomNPC.EffectNPC.Option.Dye.ShipTurquoise2: Ship Turquoise 2
CustomNPC.EffectNPC.Option.Dye.ShipBlue: Ship Blue
CustomNPC.EffectNPC.Option.Dye.ShipBlue2: Ship Blue 2
CustomNPC.EffectNPC.Option.Dye.ShipBlue3: Ship Blue 3
CustomNPC.EffectNPC.Option.Dye.ShipPurple: Ship Purple
CustomNPC.EffectNPC.Option.Dye.ShipPurple2: Ship Purple 2
CustomNPC.EffectNPC.Option.Dye.ShipPurple3: Ship Purple 3
CustomNPC.EffectNPC.Option.Dye.ShipPink: Ship Pink
CustomNPC.EffectNPC.Option.Dye.ShipCharcoal: Ship Charcoal
CustomNPC.EffectNPC.Option.Dye.ShipCharcoal2: Ship Charcoal 2
CustomNPC.EffectNPC.Option.Dye.RedCrafterOnly: Red - crafter only
CustomNPC.EffectNPC.Option.Dye.PlumCrafterOnly: Plum - crafter only
CustomNPC.EffectNPC.Option.Dye.PurpleCrafterOnly: Purple - crafter only
CustomNPC.EffectNPC.Option.Dye.DarkPurpleCrafterOnly: Dark Purple - crafter only
CustomNPC.EffectNPC.Option.Dye.DuskyPurpleCrafterOnly: Dusky Purple - crafter only
CustomNPC.EffectNPC.Option.Dye.LightGoldCrafterOnly: Light Gold - crafter only
CustomNPC.EffectNPC.Option.Dye.DarkGoldCrafterOnly: Dark Gold - crafter only
CustomNPC.EffectNPC.Option.Dye.DirtyOrangeCrafterOnly: Dirty Orange - crafter only
CustomNPC.EffectNPC.Option.Dye.DarkTanCrafterOnly: Dark Tan - crafter only
CustomNPC.EffectNPC.Option.Dye.BrownCrafterOnly: Brown - crafter only
CustomNPC.EffectNPC.Option.Dye.LightGreenCrafterOnly: Light Green - crafter only
CustomNPC.EffectNPC.Option.Dye.OliveGreenCrafterOnly: Olive Green - crafter only
CustomNPC.EffectNPC.Option.Dye.CornflowerBlueCrafterOnly: Cornflower Blue - crafter only
CustomNPC.EffectNPC.Option.Dye.LightGrayCrafterOnly: Light Gray - crafter only
CustomNPC.EffectNPC.Option.Dye.HotPinkCrafterOnly: Hot Pink - crafter only
CustomNPC.EffectNPC.Option.Dye.DuskyRoseCrafterOnly: Dusky Rose - crafter only
CustomNPC.EffectNPC.Option.Dye.SageGreenCrafterOnly: Sage Green - crafter only
CustomNPC.EffectNPC.Option.Dye.LimeGreenCrafterOnly: Lime Green - crafter only
CustomNPC.EffectNPC.Option.Dye.GrayTealCrafterOnly: Gray Teal - crafter only
CustomNPC.EffectNPC.Option.Dye.GrayBlueCrafterOnly: Gray Blue - crafter only
CustomNPC.EffectNPC.Option.Dye.OliveGrayCrafterOnly: Olive Gray - crafter only
CustomNPC.EffectNPC.Option.Dye.NavyBlueCrafterOnly: Navy Blue - crafter only
CustomNPC.EffectNPC.Option.Dye.ForestGreenCrafterOnly: Forest Green - crafter only
CustomNPC.EffectNPC.Option.Dye.BurgundyCrafterOnly: Burgundy - crafter only
CustomNPC.EffectNPC.Category.Blues: Blues
CustomNPC.EffectNPC.Category.Greens: Greens
CustomNPC.EffectNPC.Category.Reds: Reds
CustomNPC.EffectNPC.Category.Yellows: Yellows
CustomNPC.EffectNPC.Category.Purples: Purples
CustomNPC.EffectNPC.Category.Violets: Violets
CustomNPC.EffectNPC.Category.Oranges: Oranges
CustomNPC.EffectNPC.Category.Blacks: Blacks
CustomNPC.EffectNPC.Category.Other: Other
CustomNPC.ItemModel.Greeting:             Hello there!\nI can offer a variety of aesthetics... for those willing to pay for it.\nHand me the item and then we can talk prices.
CustomNPC.ItemModel.NeedItem:             I need an item to work on!
CustomNPC.ItemModel.LostModel:            I'm sorry, I seem to have lost track of the model you wanted. Please start over.
CustomNPC.ItemModel.PadTypes:             I can offer the following pad types:\n\n[Type 1]\n[Type 2]\n[Type 3]\n[Type 4]\n[Type 5]
CustomNPC.ItemModel.InvalidSkin:          This skin is not valid for this item type. Please try a different combo.
CustomNPC.ItemModel.ModelChanged:         I have changed your item's model.
CustomNPC.ItemModel.Confused:             I'm sorry, I seem to have gotten confused. Please start over.\nIf you repeatedly get this message, please file a bug ticket with the steps that caused it.
CustomNPC.ItemModel.PadsLimitedSlots:     I'm sorry, but I can only modify the pads on torso, hand, and feet armor.
CustomNPC.ItemModel.ExtensionChanged:     Thanks for your donation. I have changed your item's extension, you can now use it.\n\nI look forward to doing business with you in the future.
CustomNPC.ItemModel.HelmMenu:             A fine piece of headwear.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Dragonslayer Helm]\n[Dragonsworn Helm]\n***** End Cata Only *****\n\n[Crown of Zahur]\n[Crown of Zahur variant]\n[Winged Helm]\n[Oceanus Helm]\n[Stygia Helm]\n[Volcanus Helm]\n[Aerus Helm]\n
CustomNPC.ItemModel.HelmWizardOption:     [Wizard Hat]\n
CustomNPC.ItemModel.HelmRealmPrompt:      \nAdditionally, I have some realm specific headgear available:
CustomNPC.ItemModel.HelmAlbionOptions:    [Robin Hood Hat]\n[Tarboosh]\n[Jester Hat]\n
CustomNPC.ItemModel.HelmHiberniaOptions:  [Robin Hood Hat]\n[Leaf Hat]\n[Stag Helm]\n
CustomNPC.ItemModel.HelmMidgardOptions:   [Fur Cap]\n[Wing Hat]\n[Wolf Helm]\n
CustomNPC.ItemModel.TorsoMenu:            This looks like it has protected you nicely.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Dragonslayer Breastplate]\n[Dragonsworn Breastplate]\n[Good Shar Breastplate]\n[Possessed Shar Breastplate]\n[Good Inconnu Breastplate]\n[Possessed Inconnu Breastplate]\n[Good Realm Breastplate]\n[Possessed Realm Breastplate]\n[Mino Breastplate]\n***** End Cata Only *****\n\n[Class Epic Chestpiece]\n[Eirene's Chest]\n[Naliah's Robe]\n[Guard of Valor]\n[Golden Scarab Vest]\n[Oceanus Breastplate]\n[Stygia Breastplate]\n[Volcanus Breastplate]\n[Aerus Breastplate]\n
CustomNPC.ItemModel.ArmorPadPrompt:       I can also offer you some [armor pad] options.
CustomNPC.ItemModel.ArmsMenu:             This looks like it has protected you nicely.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Dragonslayer Sleeves]\n[Dragonsworn Sleeves]\n[Good Shar Sleeves]\n[Possessed Shar Sleeves]\n[Good Inconnu Sleeves]\n[Possessed Inconnu Sleeves]\n[Good Realm Sleeves]\n[Possessed Realm Sleeves]\n[Mino Sleeves]\n***** End Cata Only *****\n\n[Foppish Sleeves]\n[Arms of the Wind]\n[Oceanus Sleeves]\n[Stygia Sleeves]\n[Volcanus Sleeves]\n[Aerus Sleeves]\n
CustomNPC.ItemModel.LegsMenu:             This looks like it has protected you nicely.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Dragonslayer Pants]\n[Dragonsworn Pants]\n[Good Shar Pants]\n[Possessed Shar Pants]\n[Good Inconnu Pants]\n[Possessed Inconnu Pants]\n[Good Realm Pants]\n[Possessed Realm Pants]\n[Mino Pants]\n***** End Cata Only *****\n\n[Wings Dive]\n[Alvarus' Leggings]\n[Oceanus Pants]\n[Stygia Pants]\n[Volcanus Pants]\n[Aerus Pants]\n
CustomNPC.ItemModel.HandsMenu:            This looks like it has protected you nicely.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Dragonslayer Gloves]\n[Dragonsworn Gloves]\n[Good Shar Gloves]\n[Possessed Shar Gloves]\n[Good Inconnu Gloves]\n[Possessed Inconnu Gloves]\n[Good Realm Gloves]\n[Possessed Realm Gloves]\n[Mino Gloves]\n***** End Cata Only *****\n\n[Maddening Scalars]\n[Sharkskin Gloves]\n[Oceanus Gloves]\n[Stygia Gloves]\n[Volcanus Gloves]\n[Aerus Gloves]\n
CustomNPC.ItemModel.FeetMenu:             This looks like it has protected you nicely.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Dragonslayer Boots]\n[Dragonsworn Boots]\n[Good Shar Boots]\n[Possessed Shar Boots]\n[Good Inconnu Boots]\n[Possessed Inconnu Boots]\n[Good Realm Boots]\n[Possessed Realm Boots]\n[Mino Boots]\n***** End Cata Only *****\n\n[Enyalio's Boots]\n[Flamedancer's Boots]\n[Oceanus Boots]\n[Stygia Boots]\n[Volcanus Boots]\n[Aerus Boots]\n
CustomNPC.ItemModel.CloakMenu:            This looks like it has protected you nicely.\nI can apply the following skins:\n\n***** Catacombs Models Only *****\n[Realm Cloak]\n[Dragonslayer Cloak]\n[Dragonsworn Cloak]\n[Valentines Cloak]\n[Winter Cloak]\n[Clean Leather Cloak]\n[Corrupt Leather Cloak]\n***** End Cata Only *****\n\n[Cloudsong]\n[Shades of Mist]\n[Harpy Feather Cloak]\n[Healer's Embrace]\n[Oceanus Cloak]\n[Magma Cloak]\n[Stygian Cloak]\n[Aerus Cloak]\n[Collared Cloak]\n
CustomNPC.ItemModel.WeaponMenuHeader:     Ah, I know a highly lethal weapon when I see it.\nI can apply the following skins:\n\n
CustomNPC.ItemModel.FistMenu:             [Snakecharmer's Fist]\n[Scorched Fist]\n[Dragonsworn Fist]\n
CustomNPC.ItemModel.WhipMenu:             [Snakecharmer's Whip]\n[Scorched Whip]\n[Dragonsworn Whip]\n
CustomNPC.ItemModel.Thrust1HMenu:         [Traitor's Dagger 1h]\n[Croc Tooth Dagger 1h]\n[Golden Spear 1h]\n[Wakazashi]\n
CustomNPC.ItemModel.Hilt1HPrompt:         Or, perhaps you'd just prefer a [hilt 1h] \n
CustomNPC.ItemModel.Crush1HMenu:          [Battler Hammer 1h]\n[Malice Hammer 1h]\n[Bruiser Hammer 1h]\n[Scepter of the Meritorious]\n[Rolling Pin]\n[Stein]\n[Turkey Leg]\n
CustomNPC.ItemModel.Slash1HMenu:          [Croc Tooth Axe 1h]\n[Traitor's Axe 1h]\n[Malice Axe 1h]\n[Battler Sword 1h]\n[Khopesh]\n[Cleaver]\n[Wakazashi]\n
CustomNPC.ItemModel.ClassEpic1HPrompt:    Additionally, I can apply an [class epic 1h] {0} skin.\n
CustomNPC.ItemModel.ShieldMenu:           A sturdy barricade to ward the blows of your enemies.\nI can apply the following skins:\n\n[Aten's Shield]\n[Cyclop's Eye]\n[Shield of Khaos]\n[Oceanus Shield]\n[Aerus Shield]\n[Magma Shield]\n[Minotaur Shield]\n
CustomNPC.ItemModel.StaffMenu:            [Dragonsworn Staff]\n[Traldor's Oracle]\n[Trident of the Gods]\n[Tartaros Gift]\n[Scorched Staff]\n
CustomNPC.ItemModel.ScytheMenu:           [Dragonsworn Scythe]\n[Scythe of Kings]\n[Snakechamer's Scythe]\n[Magma Scythe]\n[Scorched Scythe]\n
CustomNPC.ItemModel.PoleMenu:             [Dragonsworn Pole]\n[Pole of Kings]\n[Golden Pole]\n[Scorched Pole]\n
CustomNPC.ItemModel.Spear2HMenu:          [Golden Spear 2h]\n[Dragon Spear 2h]\n[Scorched Spear 2h]\n[Trident Spear 2h]\n
CustomNPC.ItemModel.Thrust2HMenu:         [Scorched Thrust 2h]\n[Dragon Thrust 2h]\n[Katana 2h]\n[Pickaxe]\n
CustomNPC.ItemModel.Hilt2HPrompt:         Or, perhaps you'd just prefer a [hilt 2h] \n
CustomNPC.ItemModel.Crush2HMenu:          [Battler Hammer 2h]\n[Malice Hammer 2h]\n[Bruiser Hammer 2h]\n[Scorched Hammer 2h]\n[Magma Hammer 2h]\n[Pickaxe]\n
CustomNPC.ItemModel.Slash2HMenu:          [Malice Axe 2h]\n[Scorched Axe 2h]\n[Magma Axe 2h]\n[Battler Sword 2h]\n[Scorched Sword 2h]\n[Katana 2h]\n
CustomNPC.ItemModel.ClassEpic2HPrompt:    Additionally, I can apply an [class epic 2h] skin.\n
CustomNPC.ItemModel.InstrumentMenu:       This looks like it plays beautiful music.\nI can apply the following skins:\n\n[Class Epic Harp]\n[Labyrinth Harp]\n
CustomNPC.ItemModel.BowMenu:              Nothing like bringing death from afar.\nI can apply the following skins:\n\n[Class Epic Bow]\n[Braggart's Bow]\n[Fool's Bow]\n[Labyrinth Bow]\n
CustomNPC.ItemModel.ConfirmModelPrompt:   When you are finished browsing, let me know and I will [confirm model].
CustomNPC.DPSDummy.Greeting:              Hello, you can change my [armor] and [resistances] with ease, you need but ask. Right click me to reset them back to default.\n\nYou can also whisper me with the following format:\n\nTo change individual resists: /whisper <resist> <percent> (e.g., /whisper body 10)\n\nThe resist percent must be between 0 and 70.\n\nResist values accepted include: body, cold, crush, energy, heat, matter, slash, spirit, and thrust.\n\nTo change all resists: /whisper allresist <percent> (e.g., /whisper allresist 20)\n\nTo change my individual defenses: /whisper <defense> <percent> (e.g., /whisper evade 30)\n\nDefense values accepted include: evade, block, parry.\n\nTo change all defenses: /whisper alldefense <percent> (e.g., /whisper alldefense 20)
CustomNPC.DPSDummy.InvalidNumber:         Invalid number format.
CustomNPC.DPSDummy.NumberRange:           Number must be between 0 and 100.
CustomNPC.DPSDummy.ArmorPrompt:           Would you like me to don a set of\n[cloth]\n[leather]\n[studded]\n[chain]\n[plate]\n[reinforced]\nor [scale]?
CustomNPC.DPSDummy.ResistancePrompt:      Whisper me the resist type and value you'd like. Example: '/whisper Body 10' will give me +10% Body resist.\nAdditionally, you can whisper me 'allresist #' to set all resistances to the number provided.
Quest.Common.ThankContribution:           Thank you for your contribution!
Quest.Common.ClearInventorySlots:         Clear {0} slot(s) of your inventory for your reward.
Quest.Common.NotEnoughInventorySpace:     You do not have enough free space in your inventory!
Quest.Common.EpicArmorEarned:             You have earned this Epic Armor, wear it with honor!
Quest.Common.ComeBackIfChangedMind:       Please come back if you change your mind!
Quest.AncestralSecrets.AncestralKeeperAmbush: Ancestral Keeper ambushes you!
Quest.TheLostSeed.FeairnaAtharAmbush:     Feairna-Athar ambushes you!
Quest.Hibernia.TheLostSeed.LeavesRustle:  You feel a quiet rustling in the leaves overhead.
Quest.Hibernia.TheLostSeed.FeairnaAtharAmbush: Feairna-Athar ambushes you!
Quest.Hibernia.TheLostSeed.NoRoomForJewel: You don't have enough room for {0}, so it drops on the ground.
Quest.Hibernia.TheLostSeed.Subscribe:     Will you help Terod find [The Lost Seed]?
Quest.Hibernia.TheLostSeed.Terod.Intro:   Hello {0}, do you have a moment to listen to my story?\nA cursed treant rages in Cothrom Gorge and is threatening our realm. I have a good feeling... could you be the one finally able to [help us]?
Quest.Hibernia.TheLostSeed.Terod.HelpUs:  Some friends and I have been looking for strong fighters and magicians to help us for a few days now. It's about the [Lost Seed].
Quest.Hibernia.TheLostSeed.Terod.Treant:  Kredril knows much more about this treant. Go find him outside of Droighaid.
Quest.Hibernia.TheLostSeed.Terod.Accepted: Thanks, let's talk more about the Lost Seed!
Quest.Hibernia.TheLostSeed.Terod.Step1:   I am very glad that you decided to help us! The [treant] in Cothrom Gorge is brutal and very aggressive. I heard it likes to torture everything that stands in its way.
Quest.Hibernia.TheLostSeed.Terod.Step2:   Kredril has studied this treant for years. He will know much more about it. Seek him on the outskirts of Droighaid; he will be able to help you.
Quest.Hibernia.TheLostSeed.Terod.Step3:   Greetings {0}, Kredril told me that you are on your way to visit Jandros, is that right? Emolia can be found next to Droighaid's Bindstone, and she will be able to help with your journey to Aalid Feie.
Quest.Hibernia.TheLostSeed.Terod.Step4:   Hello {0}, have you visited Jandros yet? You can find Jandros in one of those big trees in Aalid Feie.
Quest.Hibernia.TheLostSeed.Terod.Step5:   Jandros has told me that you defeated the treant Feairna-Athar. We all stand behind you and thank you for your courage!
Quest.Hibernia.TheLostSeed.Terod.Step6:   I don't know what to say. You are outstanding! Bring this Glowing Red Jewel to Jandros; he knows what to do.
Quest.Hibernia.TheLostSeed.Terod.Step7:   Welcome back, hero of Hibernia. I think it's time for your [reward]!
Quest.Hibernia.TheLostSeed.Kredril.Intro: Hey {0}, today is a beautiful day. I hope it is for you too.
Quest.Hibernia.TheLostSeed.Kredril.TheLostSeed: Farmers of Hibernia found cursed seeds in Cothrom Gorge. A few seeds were destroyed, but one was lost. Please visit [Jandros] in Aalid Feie; he might know where the farmers found those seeds.
